about1,about2,about_family,age2,birth1,birth2,birth3,birth4,body1,body2,brothers,caste1,caste2,city2,college,complexion1,complexion2,created_for,degree,details,drinking1,drinking2,eating1,eating2,education2,employed1,employed2,family_type1,family_type2,father,fields,gotra,have_children,height1,height2,horoscope,income1,income2,last_login,living,manglik1,manglik2,marital_status1,marital_status2,mother,mother1,mother2,nakshatra,occupation,profileID,raasi,religion1,religion2,sisters,smoking1,smoking2,special1,special2,status1,status2,subcaste,url,values1,values2,weight1,weight2
"I am a man of democratic nature. I love to
 travel places and looking for sumbody who is resposible and understanding , a nice human with no ego.........",,,22 to 25,16 Dec 1977,,India,,Athletic,Doesn't Matter,,,,,,Whetish Medium ,Doesn't Matter,Self,BE B.Tech (Engineering),"35 yrs, 5ft 8in,<br />
					
					
					
					
													
						Buddhist, 
						
					
						
						Hindi ,<br />
																							
					
					
					
				
					
							BE B.Tech (Engineering), 				
					
						  	
					
					IT, <br />
					 
					
					India",Doesn't Matter,,Doesn't Matter,,,Private Sector,,Nuclear,Doesn't Matter,,,,No,5ft 8in,4ft 11in to 5ft 6in,,INR 7 lakhs to 10 lakhs,,"
						10 Nov 2012",,,,Never Married,Never Married,,Hindi,Doesn't Matter,,IT,rahul_49,,Buddhist,,,Doesn't Matter,,None,Doesn't Matter,Doesn't Matter,,,,,Doesn't Matter,,
"IAM A HARDWORKING SIMPLE PERSON.I HAVE DONE MY DOUBLE POSTGRADUATION IN BIOTECHNOLOGY &amp; PSYCHOLOGY.I HAVE  A TISSUE CULTURE LAB IN MY NATIVE PLACE.MY CAST IS PURE VEGETARIAN.MY FAMILY IS AN AGRICULTURE FAMILY.I HAVE THREE ELDER BROTHERS(DOCTER,DOCTER,ENGINEER).IN MY FAMILY NO ONE SMOKES OR USE LIQUER.",,,19 to 33,24 Feb 1978,10:44:00,India,Kalpetta/Wayanad,Average,,,Gowda,"Brahmin,Brahmbatt,Brahmin - Anavil,Brahmin - Audichya,Brahmin - Bengali,Brahmin - Daivadnya,Brahmin - Davadnya,Brahmin - Deshastha,Brahmin - Dixit,Brahmin - Dravida,Brahmin - Gaur,Brahmin - Goswami/Gosavi,Brahmin - Gour,Brahmin - Gujar Gaur,Brahmin - Gurukkal,Brahmin - Halua,Brahmin - Havyaka,Brahmin - Hoysala,Brahmin - Iyengar,Brahmin - Iyer,Brahmin - Jangid,Brahmin - Jangra,Brahmin - Jhadua,Brahmin - Kanyakubj,Brahmin - Karhade,Brahmin - Kashmiri Pandit,Brahmin - Kokanastha,Brahmin - Kota,Brahmin - Kulin,Brahmin - Kumoani,Brahmin - Madhwa,Brahmin - Maharashtrian,Brahmin - Maithil,Brahmin - Modh,Brahmin - Mohyal,Brahmin - Nagar,Brahmin - Namboodiri,Brahmin - Narmadiya,Brahmin - Niyogi,Brahmin - Others,Brahmin - Paliwal,Brahmin - Panda,Brahmin - Pandit,Brahmin - Punjabi,Brahmin - Pushkarna,Brahmin - Rarhi,Brahmin - Rigvedi,Brahmin - Rigvedi,Brahmin - Rudraj,Brahmin - Sakaldwipi","Bagalkot,Mandya,Davanagere,Bellary,Rest of Karnataka,Gulbarga,Hassan,Shimoga,Bangalore,Karwar,Chitradurga,Hubli,Haveri,Ramanagaram,Bijapur,Kolar,Gadag,Madikeri,Mysore,Udupi,Mangalore,Chikballapur,Tumkur,Dharwad,Belgaum,Chamarajanagar,Raichur,Chikmagalur,Koppal,Bidar",,Wheatish ,,Self,M.Sc. (Science),"35 yrs, 5ft 4in,<br />
					
					
													
						Gowda,
					
					
													
						Hindu, 
						
					
						
						Kannada ,<br />
																							
					
					
					
				
					
							M.Sc. (Science), 				
					
						  	
					
					Pharmaceutical/ Biotechnology, <br />
					 
					
					Kalpetta/Wayanad,
					 India",No,,Vegetarian,,,Others,,,,,Biotechnology,,No,5ft 4in,4ft 5in to 5ft 4in,,INR 4 lakhs to 5 lakhs,,"
						27 Sep 2011",,No,Doesn't Matter,Never Married,Never Married,,Kannada,Kannada,,Pharmaceutical/ Biotechnology,SMM1385925,,Hindu,Hindu,,No,,None,,,,Namadari,,,,,
"About Me (Bride) Amout Me (Groom) 
I am a very candid person, and take things as they come. I am an honest, straight forward, ambitious and fun loving person. I believe in fidelity in relationships. I inhabit values of modern times, along with cultural &amp; traditional values of my family. I believe in simplicity and appreciate things which are conveyed in most natural manner. I am always ready to take up challenges and explore life to the extreme with my optimistic view point as my strength. My Philosophy of life is to live each moment to its fullest and I do inculcate it in my personal as well as professional life. A free spirit- this is how I would like to describe myself. I am a friendly, fun loving and jovial person and enjoy the company of like-minded people. Travelling, exploring new places and beauty of nature is one of my passions. At the same time, I am an ambitious person, who likes to succeed in life. I would also like to describe myself as a kind, considerate and responsible person who can take good care of my family. I carry a calm, composed and steady head on my shoulders and very rarely lose my composure and temper.",,,,21 Jul 1978,05:23:00,India,Chikmagalur,,,,Others,,,,,,Self,Other Diploma,"35 yrs, 5ft 6in,<br />
					
					
													
						Others,
					
					
													
						Muslim, 
						
					
																							
					
					
					
				
					
							Other Diploma, 				
					
						  	
					
					IT, <br />
					 
					
					Mangalore,
					 India",,,,,,,,,,,,,Yes,5ft 6in,,,US$ 50 thousand to  1 lakh,,"
						26 Dec 2011",,,,Married,,,,,,IT,manm1352976,,Muslim,,,,,,,,,Gulf Muslims,,,,,
"Dashing, handsome and self employed. Earning through family business. Cultured, decent Sindhi Larkana family and staying in Mumbai for last 30 yrs. Looking for understanding, matured and well settled girl.","LOOKING FOR A PARTNER PREFERABLY NOT IN CALL CENTRES or NIGHT SHIFTS.

Every person looks for some traits in her would be. I am no different. I expect her to be sweet, honest, RESPECTING, trustworthy, helping, energetic and ready to face any challenge boldly. I believe in moderate values and looking for not very modern kind but one who can bring balance to work and home. She should also be sacrificing at times so should I be.
She should not be just a follower but walk with me step-by-step, hand-in-hand to face any or every challenge in life.

I believe marriage is not a bond but life long relation and to make it a success, it requires trust and understanding. 
My preference would be - Teacher/ Doctors/ Govt employed/ Dentist/ Artisan/ Interior Designer/ Self dependent or home business. 

My family is a religious family (Sikh religion). Atleast I expect her to be somewhat religious.","We have a simple family ( Sahiti ), a middle class family to be honest. Love is that keep us tied and thats enough I should say. 

My parents are the wonderful parents in this world. I love them, respect them a lot. My world start with them. They are my moral support, my success factor and my true friends. 

My mother is a house-wife. She is originally from Ajmer (the CHELLANI's) and my DAD was originally from Sind (pak)- Tharushah. He was a Retd. Officer in Air India. I have one sweet, helping, wonderful, caring elder brother. He is the one who I rely on for any matter, any concern, any decision. Always after me but I njoy that. He has got recently married and currently working in a IT firm in Gurgaon as a Sr. Software Analyst. My bhabhi is working in a reputed bank in Delhi. 

Apart all my uncle and aunt (maternal) are settled in Delhi only. On paternal side my relatives are scattered across India - Rajasthan, Jaipur, Bhopal, Gujrat, Maharashtra.",24 to 31,01 Jan 1978,01:25:00,India,Delhi,Athletic,Doesn't Matter,,Sindhi,Sindhi,,,Fair ,Doesn't Matter,Self,MBA PGDM part time,"35 yrs, 5ft 5in,<br />
					
					
													
						Sindhi,
					
					
													
						Hindu, 
						
					
						
						Sindhi ,<br />
																							
					
					
					
				
					
							MBA PGDM part time, 				
					
						  	
					
					IT, <br />
					 
					
					Mumbai,
					 India",No,No,Non Vegetarian,Doesn't Matter,MBA PGDM part time,Private Sector,,Joint family single parent brothers and or sisters,Doesn't Matter,,,,No,5ft 5in,4ft 11in to 5ft 4in,,INR 7 lakhs to 10 lakhs,,"
						11 Nov 2012",,Yes,Yes,Never Married,Never Married,,Sindhi,"Hindi,Punjabi,Sindhi",,IT,danwani_j,,Hindu,Hindu,,No,No,None,None,Upper Middle Class,Doesn't Matter,,,Liberal,Doesn't Matter,,
i am living alone in this world and i need a girl with lot of love and affection . i do have one sister marries and living with her husband, I need a girl with lot of love and affection                                                                                                                       ,,20 to 30,14 Sep 1978,,India,Madurai,Average,Slim,,Kshatriya,Kshatriya,,,Dark ,Doesn't Matter,Self,Masters,"35 yrs, 5ft 8in,<br />
					
					
													
						Kshatriya,
					
					
													
						Hindu, 
						
					
						
						Telugu ,<br />
																							
					
					
					
				
					
							Masters, 				
					
						  	
					
					Customer Service/ Call Centre/BPO, <br />
					 
					
					Madurai,
					 India",No,No,Vegetarian,Doesn't Matter,Doesn't Matter,,,Nuclear,Doesn't Matter,,,,No,5ft 8in,5ft 4in to 5ft 5in,,Unspecified Don't wish to specify,,"
						10 Dec 2011",,Do Not Know,Do Not Know,Never Married,Never Married,,Telugu,Telugu,,Customer Service/ Call Centre/BPO,madm980477,,Hindu,Hindu,,No,No,None,None,Upper Middle Class,Doesn't Matter,,,Modern,Moderate,70 Kgs,50 to 60 [Kgs]
"I am only son of my parents, also one sister, she did Msc and got married, My father was Govt. 1st class officer and mother was home maker, unfortunately both passed away. I got married in 2007 and unfortunately I lost her in 2008 in an accident. I have done Bsc Math and then completed Diploma in Mech. Engr. and working as Mngr. in a MNC in Gujrat. I like to travell to much all over India and ofcourse on my official leave. Ilike to listen old hindi song, like cricket, like cooking and long driving.","She should be jolly, smily, open minded, trusty and god beleaver, I think with this quallification we will be enjoy our rest life peacefully and also she should like to travell with me all over India.",,26 to 33,17 Mar 1978,07:00:00,India,Bardhaman,Average,Average,,Brahmin - Kulin,,,,Fair ,Doesn't Matter,Self,B.Sc (Science),"35 yrs, 5ft 10in,<br />
					
					
													
						Brahmin - Kulin,
					
					
													
						Hindu, 
						
					
						
						Bengali ,<br />
																							
					
					
					
				
					
							B.Sc (Science), 				
					
						  	
					
					Manufacturing/ Engineering/ R&D;, <br />
					 
					
					Vadodara,
					 India",Occasionally,Occasionally,Non Vegetarian,Doesn't Matter,,Private Sector,,Nuclear,Doesn't Matter,,,,No,5ft 10in,5ft to 5ft 7in,,INR 7 lakhs to 10 lakhs,,"
						11 Nov 2011",,Do Not Know,Do Not Know,Widowed,Divorced,,Bengali,Bengali,,Manufacturing/ Engineering/ R&D;,barm1365871,,Hindu,Hindu,,Yes,No,None,None,Upper Middle Class,Doesn't Matter,,,Liberal,Doesn't Matter,65 Kgs,50 to 70 [Kgs]
"I am born and brought up in Pune and currently working for reputed IT company in Pune as Manager. I am easy going, friendly in nature, good sense of humor with modern outlook. We are a family of 4 including me. Father works as X-Ray technician in private, mother is a housewife and younger brother is a MBBS Doctor and is currently pursuing higher studies.","I am looking for a person who is friendly with good sense of humor. She should be  understanding with a level head, not very introvert................",,24 to 30,09 Feb 1978,13:00:00,India,Pune,Athletic,,,Garhwali,,,,Wheatish ,,Self,Other Post Graduation,"35 yrs, 5ft 8in,<br />
					
					
													
						Garhwali,
					
					
													
						Hindu, 
						
					
						
						Hindi ,<br />
																							
					
					
					
				
					
							Other Post Graduation, 				
					
						  	
					
					IT, <br />
					 
					
					Pune,
					 India",No,No,Non Vegetarian,Doesn't Matter,,Private Sector,,Joint family father mother and brothers sisters,,,,,No,5ft 8in,,,INR 10 lakhs  to 15 lakhs,,"
						09 Nov 2011",,Do Not Know,Do Not Know,Never Married,Never Married,,Hindi,"Garhwali,Hindi",,IT,punm1021224,,Hindu,Hindu,,No,No,None,,Upper Middle Class,,,,Modern,,68 Kgs,
"Currently working in Muscat as Sales executive in Automobile industry. A fun loving with great energy and positive attitude and a good going and straight farward person. Always caring/concerned about his family well being. He is a self-made man. He is looking for a partner who is simple, caring and understands the feelings.",,,,27 Feb 1978,,India,Udupi,Average,Average,,Mogaveera,Mogaveera,,IIT Mumbai,Fair ,Fair,Brother,BE B.Tech (Engineering),"35 yrs, 5ft 8in,<br />
					
					
													
						Mogaveera,
					
					
													
						Hindu, 
						
					
						
						Kannada ,<br />
																							
					
					
					
				
					
							BE B.Tech (Engineering), 				
					
						  	
					
					IT, <br />
					 
					
					Bangalore,
					 India",No,No,Non Vegetarian,Doesn't Matter,Others,Private Sector,,Others,Doesn't Matter,,Biomedical,,No,5ft 8in,5ft 4in to 5ft 10in,,INR 15 lakhs to 20 lakhs,,"
						12 Dec 2011",,Do Not Know,Do Not Know,Never Married,Never Married,,Kannada,Kannada,,Others,banm970457,Libra,Hindu,Hindu,,No,No,None,None,Middle Class,Doesn't Matter,,,Moderate,Doesn't Matter,70 Kgs,
"I am a very understanding,straightforward and broadminded person. i am a science graduate with hons. in physics and Advanced Diploma holder in Software Application.      I am looking for a partner who will be a friend, willing to stand by me at every stage of my life...  should be well qualified, intelligent and understanding by nature. i am a science graduate with Hons.  in physics.i am Diploma holder in computer.At present i am working as a SOFTWARE TRAINER APTECH COMPUTER  ( A GLOBAL IT COMPANY.) .i have  been in field of software  training for   more than 5 years.i have 
good  knowledge of  languages  like C ,C++,    ,JAVA, HTML,XHTML,DHTML,XML,ADO,ADO.NET,VB.NET, ASP.NET,C#.NET,ORACLE,SQL SERVER, ACCESS,VB,FOXPRO, DATA STRUCTURE(C,C  ),DBMS,DATABASE PROGRAMMING,NETWORKING. i have my own house in posh area of Arrah. i have also landed property   of huge valuation in town and village both.  .i  have  very good  future and i am pursuing level 'A' (final)  course from DOEACC SOCIETY NEW DELHI.i have also worked with BALUJA EDUCATION SOCIETY NEW DELHI  an other education centers of New Delhi.i  am looking forward to a bright an fast track carrier  in software industry after my  M.C.A. i am also pursuing training course.in .NET FROM
DECCAN SOFT  HYDERABAD UNDER THE GUIDANCE OF WORLD CLASS TRAINERS WHICH WILL GIVE ME  A VERY SHARP EDGE IN TACKLING JOBS IN IT SECTOR.","My partner should be well educated. she should be down to earth person.,having belief in family values and respect for elders.she should be well cultured and belong to family having both traditional and modern values.she should be a loving and caring life partner.",,25 to 40,06 Dec 1977,,India,Araria,Average,Average,,Kayastha,,,,Wheatish ,Doesn't Matter,Self,B.Sc (Science),"35 yrs, 5ft 8in,<br />
					
					
													
						Kayastha,
					
					
													
						Hindu, 
						
					
						
						Hindi ,<br />
																							
					
					
					
				
					
							B.Sc (Science), 				
					
						  	
					
					Banking, Insurance &amp; Financial Services, <br />
					 
					
					Arrah,
					 India",No,,Vegetarian With Eggs,,B.A. (Arts),Private Sector,,Joint family father mother and brothers sisters,,,,,No,5ft 8in,5ft to 5ft 6in,No,INR 1 lakh to 2 lakhs,,"
						05 Oct 2011",,No,,Never Married,Doesn't Matter,,Hindi,Bihari,,"Banking, Insurance &amp; Financial Services",arrm1378510,Capricorn,Hindu,Hindu,,No,,None,None,Middle Class,,,,Moderate,,65 Kgs,
"i am  a blend of traditional cum modern values..working in government sector(mantralaya,Mumbai). i always participative in extra activities... i am a good organizer, professionally and personally also matured enough to deal with all kinds of situations... i am  jolly in nature and looking for a  bride from a sound family background having good cultural values...caste is not an issue for me...",,,25 to 32,02 Apr 1978,12:03:00,India,Mumbai,Average,,1 brother ,Teli,,"Kalyan,Gurgaon,Ghaziabad,Pune,Thane,Chennai,Secunderabad,Ahmedabad,Bangalore,Delhi,Faridabad,Navi Mumbai,Greater Noida,Kolkata,Hyderabad,Noida,Mumbai",,Fair ,,Self,B.Com (Commerce),"35 yrs, 5ft 11in,<br />
					
					
													
						Teli,
					
					
													
						Hindu, 
						
					
						
						Marathi ,<br />
																							
					
					
					
				
					
							B.Com (Commerce), 				
					
						  	
					
					Government Employee, <br />
					 
					
					Thane,
					 India",No,,Vegetarian,,,State Government,,Joint family father mother and brothers sisters,,Passed,Commerce Pass,kashyap,No,5ft 11in,5ft 3in to 5ft 8in,No,INR 2 lakhs to 3 lakhs,,"
						11 Sep 2011",Yes,No,No,Never Married,Never Married,Housewife,Marathi,Marathi,,Government Employee,SMM1385751,Scorpio,Hindu,Hindu,1 sister ,No,,,,Middle Class,,,,Moderate,,60 Kgs,
